"entrezgene","sample_1","sample_2","sample_3"
12517,20,22,21
12518,1,1,2
12519,0,0,1
12520,702,916,620
12521,18,18,22
12522,0,3,2
12523,69,89,61
12524,0,4,0
12525,8,4,4
12526,37,52,42
12527,37,44,44
12530,57,87,79
12531,61,46,58
12532,65,88,60
12534,107,118,94
12537,142,198,227
12539,100,115,128
12540,534,658,466
12544,40,51,50
12545,113,142,136
12549,178,222,176
12550,16,5,9
12552,2986,3331,2756
12554,23,28,13
12555,1,1,2
12556,0,0,0
12557,4,0,0
12558,299,284,326
12560,23,31,38
12561,6,6,4
12562,331,393,377
12563,36,19,25
12564,23,8,8
12565,0,7,4
12566,85,94,85
12567,412,494,293
12568,40,40,66
12569,3,16,8
12570,1,0,1
12571,49,63,32
12572,624,676,537
12575,6,8,26
12576,59,77,77
12577,976,883,992
12578,0,0,0
12579,0,0,0
12580,20,15,14
12581,73,84,39
12583,374,551,389
12585,81,66,71
12587,2,0,5
12589,106,138,101
12590,0,0,0
12591,0,0,0
12592,0,0,0
12593,45,51,41
12606,0,3,1
12607,131,145,133
12608,1,0,0
12609,15,22,14
12611,138,147,120
12613,0,0,1
12614,55,50,32
12615,115,140,82
12616,81,89,67
12617,169,197,120
12622,68,61,70
12623,0,0,0
12626,144,210,148
12627,0,0,0
12628,5,5,26
12630,0,0,0
12631,340,428,457
12632,105,129,111
12633,928,981,950
12638,6,10,9
12640,0,0,0
12642,1,9,4
12643,1,1,1
12647,13,39,18
12648,291,357,260
12649,57,70,57
12651,85,92,109
12652,0,0,1
12653,0,4,1
12654,0,0,0
12655,0,0,0
12659,1,7,5
12660,597,731,705
12661,41,40,27
12662,102,149,93
12663,36,51,39
12667,33,29,20
12669,6,5,5
12671,0,0,1
12672,8,13,10
12675,96,127,94
12677,0,0,0
12683,0,0,0
12684,3,5,5
12686,0,0,0
12695,72,44,38
12696,54,38,39
12700,14,27,10
12702,22,12,11
12703,2,4,1
12704,58,69,49
12705,3,0,1
12709,13,11,16
12715,0,0,0
12716,3,0,2
12721,8,29,18
12722,16,30,21
12723,4,3,4
12724,106,131,80
12725,76,60,48
12727,57,61,68
12728,58,59,43
12729,153,175,153
12733,0,0,0
12737,46,71,65
12738,0,0,0
12739,0,1,0
12740,0,1,3
12741,16,26,30
12745,0,4,0
12747,546,715,615
12748,177,157,168
12750,241,273,285
12751,120,100,117
12752,19,32,47
12753,149,157,147
12757,208,179,171
12759,22,46,22
12763,834,759,623
12764,70,69,78
12765,819,855,675
12766,0,0,0
12767,15,14,12
12768,0,7,1
12769,25,4,6
12770,0,0,0
12771,0,0,0
12772,8,13,16
12773,17,36,11
12774,1,4,7
12775,0,1,1
12776,0,1,0
12777,0,0,0
12778,28,17,27
12780,0,0,2
12785,856,973,696
12788,0,1,0
12789,1,3,1
12790,28,17,22
12793,93,122,104
12794,29,20,17
12795,6,7,3
12796,0,0,0
12797,4,2,2
12798,220,244,255
12799,34,40,32
12801,2,0,4
12802,189,213,246
12803,1,4,0
12804,7,12,12
12805,8,11,5
12807,619,626,513
12808,62,71,52
12810,14,17,10
12812,30,40,23
12813,33,27,24
12814,402,502,489
12815,2,4,10
12816,531,384,459
12817,1,6,1
12818,699,473,652
12819,125,105,98
12821,42,8,13
12822,96,146,129
12823,1,1,0
12824,72,48,62
12825,5976,5995,4592
12826,784,888,761
12827,850,892,698
12828,0,1,2
12829,1,0,0
12830,28,40,25
12831,1073,1000,984
12832,764,725,705
12833,664,624,590
12834,978,958,802
12836,54,27,29
12837,1120,391,493
12839,2,3,1
12840,49,73,76
12841,15,18,25
12842,2227,2308,2407
12843,4025,4397,4054
12845,2,3,7
12846,251,302,374
12847,773,969,737
12848,214,191,165
12850,21,32,22
12854,9,6,4
12856,9,23,14
12857,155,238,204
12858,63,54,43
12859,123,166,174
12861,146,185,167
12862,0,1,0
12864,90,69,117
12865,0,0,2
12866,76,82,76
12867,190,267,259
12868,113,112,111
12869,0,0,0
12870,6,5,8
12873,10,75,42
12874,256,268,179
12876,91,66,103
12877,6,0,1
12879,19,12,22
12889,0,0,1
12890,1238,1417,934
12891,0,0,0
12892,138,125,117
12894,60,79,76
12895,1,8,9
12896,28,40,33
12902,15,27,9
12903,360,256,249
12904,140,233,171
12905,14,14,16
12908,112,112,103
12909,21,32,32
12912,235,322,231
12913,55,40,41
12914,898,936,741
12915,50,55,62
12916,64,36,39
12918,0,0,0
12919,0,0,0
12921,0,0,0
12922,0,0,0
12925,20,45,46
12927,47,59,57
12928,285,325,214
12929,144,183,134
12931,114,126,161
12933,36,39,20
12934,539,758,506
12936,0,0,0
12937,4,1,1
12939,3,7,3
12941,10,0,5
12942,7,2,4
12943,2,0,3
12944,92,96,76
12945,0,0,1
12946,122,111,93
12950,30,49,40
12951,51,40,41
12952,57,46,49
12953,119,127,159
12954,0,0,0
12955,26,29,41
12957,6,8,7
12958,0,0,0
12959,0,4,0
12960,0,2,2
12961,0,0,0
12962,3,2,8
12964,0,0,0
12965,0,1,1
12966,0,0,0
12967,0,0,0
12968,0,1,0
12969,0,0,0
12970,0,0,0
12971,1,0,0
12972,32,46,22
12974,334,342,338
12977,66,58,69
12978,13,29,40
12981,0,0,0
12982,30,28,31
12983,58,78,48
12984,27,38,36
12985,0,1,0
12986,398,423,376
12988,48,60,45
12990,0,0,0
12991,0,0,0
12992,0,0,0
12993,0,0,0
12994,0,0,0
12995,309,353,238
13000,148,164,106
13001,82,78,77
13002,225,248,195
13003,5367,6236,4574
13004,263,293,313
13006,479,554,440
13007,181,150,197
13008,252,417,354
13009,0,0,3
13010,116,142,134
13011,1,6,1
13012,0,0,0
13013,0,0,0
13014,59,80,67
13016,109,112,104
13017,169,150,149
13018,202,230,187
13019,17,39,24
13024,157,165,147
13025,6,12,9
13026,112,145,114
13030,295,373,271
13032,18,41,34
13033,238,267,291
13034,286,350,298
13035,0,0,0
13036,16,21,16
13038,32,5,10
13039,129,180,147
13040,9,7,9
13041,8,8,6
13043,183,212,169
13046,155,171,101
13047,210,200,193
13048,2,6,6
13051,29,55,45
13052,92,144,81
13056,6,6,9
13057,22,26,39
13058,1,4,4
13063,258,302,322
13067,0,1,0
13070,0,2,2
13072,0,0,0
13074,0,0,0
13075,0,4,1
13076,0,0,1
13077,0,0,0
13078,33,32,22
13079,0,1,0
13081,0,0,0
13082,0,3,2
13085,0,0,0
13086,0,0,0
13087,0,0,0
13088,0,0,0
13089,0,0,0
13090,0,1,0
13094,0,0,0
13095,0,0,0
13096,0,0,0
13097,0,0,0
13098,0,0,0
13099,0,0,0
13101,1,0,0
13105,3,2,1
13106,502,580,527
13107,1,0,1
13108,0,0,1
13109,2,0,1
13110,27,52,34
13112,0,0,0
13113,0,0,0
13114,0,0,0
13115,1,4,0
13116,8,11,15
13117,0,0,0
13118,0,0,0
13119,0,0,0
13120,0,5,0
13121,144,149,112
13122,0,1,1
13123,35,17,14
13124,0,0,0
13131,10,10,11
13132,553,854,654
13134,9,12,6
13135,88,122,86
13136,38,43,52
13137,5,9,5
13138,248,268,229
13139,55,70,61
13142,0,0,0
13143,0,5,3
13144,20,22,12
13162,0,0,1
13163,55,45,66
13164,1,2,0
13166,0,0,0
13167,94,120,96
13168,0,0,0
13169,93,105,89
13170,10,12,17
13171,230,232,157
13172,0,0,0
13175,132,191,125
13176,525,418,431
13177,52,63,37
13178,51,93,50
13179,324,538,394
13180,7,0,7
13184,0,0,0
13185,29,36,33
13190,0,0,0
13191,90,98,74
13193,69,58,71
13194,574,652,609
13195,6,3,2
13196,333,383,287
13197,6,3,1
13198,41,47,48
13199,0,0,0
13200,187,206,216
13202,21,24,10
13204,410,516,439
13205,635,858,694
13206,1,0,0
13207,1188,1379,1135
13209,686,742,604
13211,466,508,391
13214,0,0,1
13215,0,0,0
13218,0,0,0
13226,0,0,0
13236,0,0,0
13237,0,0,0
13239,0,0,0
13244,119,148,122
13340,10,8,3
13345,22,24,26
13346,4,7,4
13347,42,49,27
13349,44,73,50
13350,83,77,72
13353,27,28,29
13356,136,166,145
13358,24,29,42
13360,39,66,51
13361,59,81,75
13363,3,2,5
13367,58,52,59
13368,38,21,25
13370,0,0,0
13371,2,7,7
13380,80,59,73
13382,133,191,132
13383,357,315,257
13384,12,17,29
13385,115,125,120
13386,210,141,190
13388,4,2,1
13389,5,1,1
13390,15,6,7
13392,2,3,1
13393,1,0,4
13394,0,0,0
13395,18,7,11
13396,2,0,1
13397,0,0,0
13400,35,43,46
13401,58,102,79
13404,5,2,3
13405,126,226,126
13406,0,0,29
13409,6,4,4
13411,72,99,72
13417,18,21,20
13418,338,345,227
13419,42,45,45
13421,3,10,8
13423,354,442,361
13424,914,908,784
13426,10,7,3
13427,251,312,240
13429,550,483,517
13430,200,182,159
13433,369,406,324
13434,16,19,16
13435,850,1039,918
13436,24,40,24
13437,55,63,58
13445,401,393,374
13446,51,46,46
13447,76,66,70
13448,1,1,5
13449,8,9,5
13476,136,164,127
13478,76,70,52
13479,2,1,8
13480,16,21,15
13481,30,42,51
13482,77,44,24
13483,12,32,23
13486,39,47,43
13487,0,0,0
13488,9,8,2
13489,0,0,0
13490,0,0,0
13491,1,0,1
13492,0,0,0
13494,110,106,108
13495,61,79,63
13496,46,21,32
13497,124,116,76
13498,276,263,315
13505,0,0,0
13506,15,10,4
13507,5,0,3
13508,0,0,0
13510,0,0,1
13511,29,10,13
13512,82,54,51
13516,0,0,0
13518,603,716,506
13521,41,39,42
13522,475,558,571
13524,0,0,0
13525,0,0,0
13526,0,0,0
13527,31,60,37
13528,138,108,83
13529,0,0,0
13531,35,29,18
13532,0,0,0
13537,5,13,18
13542,39,55,59
13543,162,177,173
13544,240,304,265
13548,249,305,226
13549,38,43,32
13555,1019,1171,913
13557,101,123,119
13559,67,76,69
13560,72,69,67
13586,0,0,0
13587,0,0,0
13589,1345,1567,1196
13590,0,0,0
13591,176,172,150
13592,25,14,14
13593,120,133,111
13595,10,4,14
13599,2,0,0
13601,12,13,14
13602,153,184,167
13603,3,6,7
13605,68,69,61
13607,111,80,67
13608,2,0,1
13609,48,64,67
13610,336,397,315
13611,87,112,107
13612,65,87,56
13614,9,2,7
13615,0,0,0
13616,62,55,39
13617,1016,880,802
13618,32,51,39
13619,239,225,198
13626,92,87,66
13627,6730,5647,6270
13628,0,0,0
13629,2010,1701,1740
13631,32,31,31
13636,29,45,38
13637,17,37,22
13638,6,2,1
13639,41,71,68
13640,221,304,229
13641,140,195,147
13642,207,252,170
13643,101,72,113
13644,56,62,91
13645,19,14,10
13646,0,0,0
13648,0,0,0
13649,92,91,59
13650,53,43,52
13653,35,37,39
13654,3,1,3
13655,5,9,13
13656,0,0,0
13660,53,55,88
13661,8,10,27
13663,131,137,139
13664,166,189,129
13665,211,148,142
13666,35,48,46
13667,23,22,31
13669,929,1381,1180
13680,159,156,122
13681,537,608,654
13682,923,1306,954
13684,221,272,216
13685,22,19,28
13688,185,215,160
13690,2508,2751,2166
13706,1,1,2
13709,139,148,161
13710,2,0,2
13711,0,3,4
13712,136,168,171
13713,239,303,228
13714,255,298,221
13716,61,60,43
13717,467,601,805
13722,66,76,52
13723,20,23,15
13726,102,86,112
13728,143,126,141
13730,368,324,240
13731,414,448,308
13732,42,47,59
13733,0,15,15
13796,0,0,0
13797,0,0,0
13798,1,0,1
13799,7,2,1
13800,123,151,139
13801,0,0,0
13803,85,82,48
13804,49,29,34
13805,81,98,68
13806,40,63,30
13807,62,39,43
13808,8,18,16
13809,43,39,27
13813,48,43,43
13819,258,353,363
13821,135,194,126
13822,530,654,564
13823,886,850,679
13824,25,28,21
13828,4,5,6
13829,8,4,10
13830,23,38,25
13831,274,283,243
13835,29,30,14
13836,4,10,4
13837,1464,160,733
13838,488,212,253
13839,19,37,31
13840,0,0,0
13841,711,514,597
13842,0,1,0
13844,160,171,141
13845,248,180,378
13846,319,286,250
13848,30,45,43
13849,3,1,2
13850,3,4,10
13852,39,59,36
13853,10,7,4
13854,60,54,54
13855,96,132,116
13856,0,1,0
13857,12,7,13
13858,147,154,120
13859,257,313,321
13860,159,137,120
13861,0,0,0
13863,0,0,0
13864,18,19,15
13865,66,84,71
13866,197,157,146
13867,17,17,8
13869,4,0,1
13870,19,19,37
13871,20,24,17
13872,53,61,49
13874,0,0,0
13875,78,51,69
13876,31,29,36
13877,149,247,178
13884,0,0,0
13885,100,142,107
13897,0,0,0
13909,0,0,0
13924,16,6,11
13929,128,170,102
13972,13,18,17
13982,3,3,0
13983,36,44,32
13984,0,0,0
13990,184,227,163
13992,26,20,28
13998,80,101,73
13999,779,1044,759
14000,240,244,262
14004,287,304,225
14007,161,141,165
14008,0,0,0
14009,41,25,30
14011,81,91,72
14012,4,6,8
14013,40,70,51
14017,20,23,15
14020,260,240,198
14025,235,138,212
14026,241,227,218
14027,25,13,18
14028,0,0,0
14029,0,0,0
14030,1238,1413,1476
14038,0,0,0
14042,155,245,194
14043,368,218,289
14048,328,448,407
14049,7,6,11
14050,124,136,107
14051,51,36,28
14055,101,117,100
14056,340,346,303
14057,83,98,76
14058,324,442,596
14060,0,0,0
14061,4,0,1
14062,295,334,234
14063,5,5,2
14064,6,23,12
14065,3,0,3
14066,6,5,6
14067,3,6,4
14068,0,0,0
14069,17,18,20
14070,10,3,3
14071,0,0,0
14073,0,0,1
14077,4,11,2
14079,0,4,0
14080,0,0,0
14081,49,31,27
14082,1272,1456,1135
14083,202,204,185
14084,101,86,67
14085,9,14,14
14086,188,171,206
14087,62,54,51
14088,100,70,54
14089,47,48,34
14102,14,20,19
14103,0,0,0
14104,329,373,258
14105,315,338,266
14106,0,0,0
14107,1351,1911,1443
14109,214,248,414
14113,120,139,115
14114,126,182,142
14115,520,504,460
14118,1243,1311,1070
14119,2300,2804,2512
14120,0,0,0
14121,1,0,2
14123,106,143,124
14125,0,0,0
14126,0,3,1
14127,14,24,26
14128,221,255,241
14129,2,1,6
14130,2,9,0
14131,6,13,7
14132,60,68,63
14133,0,0,2
14134,0,0,0
