"entrezgene","sample_1","sample_2","sample_3","sample_4"
12333,12,35,22,18
12334,267,431,228,585
12335,4,8,2,14
12336,469,852,332,818
12337,39,25,12,30
12338,918,1654,738,2427
12339,154,339,188,528
12340,225,589,254,525
12343,182,475,159,220
12344,4,0,2,0
12345,268,455,209,476
12346,0,0,1,0
12348,9,16,13,49
12349,23,15,15,27
12350,0,0,2,3
12351,0,1,0,1
12352,250,312,116,177
12353,1,0,0,1
12354,1,0,0,0
12355,38,17,14,40
12359,725,494,225,1864
12361,387,638,285,727
12362,5,10,6,4
12363,8,5,2,9
12364,8,14,4,0
12365,14,1,0,10
12366,143,200,83,165
12367,26,53,39,41
12368,36,27,18,33
12369,45,88,41,45
12370,118,100,69,238
12371,68,99,37,84
12372,9,5,5,21
12373,6,17,7,3
12374,4,4,0,4
12380,79,95,59,179
12385,485,533,411,869
12386,49,59,25,103
12387,1061,2520,1437,3427
12388,655,878,429,836
12389,320,332,138,277
12390,28,40,14,7
12391,1,0,4,0
12393,400,1152,410,876
12394,284,529,283,284
12395,472,401,258,563
12396,274,393,149,378
12398,56,30,14,40
12399,1053,389,21,83
12400,348,756,354,523
12401,3,3,0,1
12402,265,318,111,288
12404,3,1,0,0
12405,4,1,0,1
12406,520,716,322,797
12408,37,54,34,85
12409,25,97,30,6
12411,3,7,2,2
12412,158,311,156,643
12416,69,86,44,111
12417,421,1464,640,1967
12418,64,36,32,24
12419,1164,1895,951,1428
12421,282,430,208,508
12424,0,0,0,0
12425,126,56,3,51
12426,9,0,0,0
12427,5,17,1,2
12428,290,488,277,940
12442,98,122,62,719
12443,114,269,111,406
12444,890,949,572,1091
12445,373,487,188,168
12447,43,60,39,27
12448,76,103,38,102
12449,66,107,26,90
12450,79,294,111,247
12452,47,87,36,129
12453,427,435,218,541
12454,138,169,84,288
12455,45,171,98,431
12457,34,30,30,40
12458,0,0,0,2
12460,28,98,19,39
12461,439,766,412,1470
12462,238,474,165,387
12464,173,507,241,691
12465,281,618,262,706
12466,241,735,330,680
12467,5,1,1,2
12468,217,738,239,582
12469,177,618,278,1121
12475,5,3,3,2
12476,70,78,31,29
12477,11,0,0,0
12478,10,1,2,1
12479,35,65,31,67
12480,11,30,14,8
12481,0,0,0,1
12482,1,5,0,0
12483,1126,400,97,450
12484,199,391,171,879
12487,18,2,0,17
12488,309,521,233,514
12489,2775,879,279,1892
12490,203,133,103,127
12491,11,19,4,4
12492,17,47,19,12
12493,6,14,4,0
12494,356,297,103,362
12495,163,147,63,178
12496,0,0,1,0
12497,24,43,23,70
12499,58,69,32,34
12500,679,228,40,233
12501,5,0,2,1
12502,3,6,1,1
12503,53,105,35,99
12504,22,9,2,33
12505,290,440,149,461
12506,5,8,3,2
12507,2,1,2,2
12508,9,35,7,2
12509,41,89,33,103
12511,4,0,0,2
12512,102,375,129,220
12514,27,53,8,40
12515,11,0,0,0
12516,0,0,0,0
12517,83,43,15,15
12518,13,2,3,1
12519,6,0,1,4
12520,614,983,500,707
12521,13,49,6,18
12522,3,8,1,3
12523,191,101,52,125
12524,25,12,1,5
12525,15,20,0,3
12526,46,55,20,49
12527,44,59,36,21
12530,72,119,54,143
12531,27,66,31,78
12532,13,45,40,143
12534,90,165,72,178
12537,122,241,152,553
12539,85,178,106,122
12540,492,1211,462,817
12544,44,39,22,47
12545,39,121,80,278
12549,271,294,180,340
12550,28,26,53,6
12552,3790,6408,2906,6869
12554,70,36,14,32
12555,6,10,5,2
12556,6,0,0,8
12557,25,8,22,9
12558,390,493,336,858
12560,24,62,16,12
12561,13,0,8,21
12562,404,261,168,325
12563,41,15,17,25
12564,9,26,8,11
12565,7,0,2,0
12566,50,82,43,154
12567,333,572,377,324
12568,28,55,37,33
12569,6,7,3,9
12570,4,0,0,0
12571,47,194,55,104
12572,710,959,387,729
12575,27,62,21,29
12576,45,80,56,71
12577,1151,1937,907,1434
12578,0,0,0,0
12579,0,0,0,2
12580,10,6,11,16
12581,70,122,56,76
12583,391,872,380,1378
12585,76,77,48,135
12587,5,27,5,6
12589,60,160,116,349
12590,3,2,3,4
12591,5,0,1,0
12592,1,0,0,0
12593,71,99,32,52
12606,7,12,4,1
12607,102,208,127,306
12608,4,2,0,4
12609,56,45,25,34
12611,99,230,100,199
12613,8,2,0,3
12614,32,39,23,33
12615,71,114,83,207
12616,36,83,44,48
12617,102,152,127,380
12622,718,249,8,24
12623,6,1,0,2
12626,69,386,181,837
12627,1,0,0,0
12628,19,26,8,27
12630,8,3,2,0
12631,421,659,255,1176
12632,87,261,110,184
12633,911,1600,593,1098
12638,7,9,8,15
12640,0,4,0,0
12642,14,9,12,10
12643,0,2,2,5
12647,181,78,22,23
12648,224,473,241,417
12649,97,111,45,123
12651,29,102,64,40
12652,5,1,0,8
12653,13,6,4,0
12654,0,1,0,2
12655,14,0,0,2
12659,2,4,6,8
12660,614,929,383,449
12661,83,40,14,22
12662,61,197,84,180
12663,45,37,23,41
12667,14,49,6,16
12669,14,5,10,5
12671,2,6,2,1
12672,36,32,15,9
12675,48,146,85,140
12677,9,2,0,2
12683,0,0,0,0
12684,14,25,4,23
12686,12,4,0,8
12695,56,92,61,61
12696,37,48,26,53
12700,37,24,9,6
12702,8,14,8,8
12703,9,3,2,2
12704,28,59,33,57
12705,3,0,1,2
12709,14,26,12,19
12715,2,3,0,0
12716,15,9,17,8
12721,20,85,23,28
12722,29,17,35,5
12723,8,5,1,6
12724,51,123,48,65
12725,33,87,36,56
12727,27,78,44,90
12728,42,98,54,65
12729,132,365,147,602
12733,4,1,0,7
12737,55,61,37,26
12738,2,1,9,1
12739,0,3,3,3
12740,0,7,2,0
12741,29,16,10,3
12745,7,1,0,1
12747,193,854,447,1558
12748,175,290,106,310
12750,121,339,188,392
12751,169,160,73,246
12752,25,40,16,31
12753,153,273,119,210
12757,340,481,203,514
12759,29,53,27,46
12763,1756,1931,601,438
12764,87,192,64,266
12765,1665,1427,487,1009
12766,0,2,0,0
12767,16,8,1,2
12768,5,9,4,4
12769,24,7,6,38
12770,0,0,0,0
12771,1,4,1,0
12772,33,43,9,5
12773,533,242,6,12
12774,11,10,7,6
12775,2,2,1,4
12776,0,6,1,1
12777,7,0,1,0
12778,53,72,21,76
12780,7,6,2,17
12785,609,2417,852,1989
12788,1,0,0,1
12789,9,0,0,1
12790,48,34,11,25
12793,155,254,131,184
12794,11,22,12,17
12795,5,4,0,16
12796,0,0,0,0
12797,4,3,0,9
12798,324,648,265,277
12799,20,62,17,59
12801,23,23,25,8
12802,193,291,110,135
12803,1,5,2,0
12804,15,11,1,23
12805,87,14,12,53
12807,819,898,355,681
12808,84,116,56,171
12810,14,32,5,69
12812,26,52,13,52
12813,28,20,16,27
12814,782,1518,712,1002
12815,22,5,2,18
12816,713,1576,812,400
12817,3,4,0,9
12818,697,853,523,750
12819,93,54,41,138
12821,27,29,15,47
12822,157,66,45,57
12823,8,2,0,1
12824,121,354,144,250
12825,7068,5087,2815,7591
12826,1384,862,451,805
12827,1114,975,421,1040
12828,3,8,0,2
12829,11,7,0,3
12830,34,41,23,20
12831,1458,951,644,1025
12832,997,1333,601,1082
12833,595,638,276,672
12834,698,859,427,984
12836,46,22,6,30
12837,836,2579,616,4092
12839,17,14,8,9
12840,56,134,41,101
12841,68,147,55,85
12842,2996,4122,1683,5959
12843,6985,7266,2925,7736
12845,6,4,1,10
12846,344,419,181,350
12847,799,1285,653,1663
12848,181,373,203,461
12850,33,33,13,62
12854,0,3,4,0
12856,1,42,6,36
12857,150,544,209,170
12858,91,166,62,112
12859,186,454,137,357
12861,318,336,91,190
12862,0,3,1,1
12864,60,189,96,261
12865,4,0,0,3
12866,94,233,70,106
12867,130,526,144,189
12868,146,177,91,161
12869,0,2,0,0
12870,19,22,3,1
12873,82,214,50,283
12874,236,294,179,276
12876,204,175,71,253
12877,3,5,1,0
12879,39,15,14,69
12889,0,0,0,2
12890,18445,4751,1052,802
12891,4,1,0,0
12892,298,248,88,186
12894,104,96,72,306
12895,2,5,1,10
12896,41,37,24,59
12902,27,17,13,21
12903,82,133,88,191
12904,91,321,115,205
12905,23,34,9,86
12908,153,134,62,113
12909,26,59,23,83
12912,186,468,195,308
12913,55,88,42,102
12914,987,1033,614,1944
12915,41,78,40,44
12916,57,62,23,89
12918,0,0,0,0
12919,1,0,0,0
12921,3,0,0,1
12922,0,4,0,1
12925,27,47,31,10
12927,64,86,33,71
12928,310,483,225,555
12929,83,174,125,139
12931,123,83,41,144
12933,28,37,17,17
12934,392,770,424,359
12936,0,0,0,0
12937,3,14,5,6
12939,2,3,2,6
12941,3,9,4,9
12942,20,10,7,5
12943,7,13,1,3
12944,649,338,56,55
12945,13,3,27,29
12946,99,201,106,175
12950,100,257,84,80
12951,83,80,32,43
12952,73,79,38,74
12953,954,1952,56,1080
12954,0,0,0,0
12955,63,126,38,32
12957,3,2,2,10
12958,8,1,0,7
12959,1,4,0,0
12960,2,4,1,0
12961,2,0,0,0
12962,21,9,5,3
12964,4,0,0,0
12965,0,0,0,3
12966,0,0,0,2
12967,0,0,0,0
12968,0,1,0,0
12969,0,0,0,0
12970,0,3,0,0
12971,16,1,0,16
12972,22,89,25,61
12974,333,625,242,511
12977,123,172,58,73
12978,94,99,24,70
12981,0,0,1,2
12982,65,42,20,159
12983,127,122,36,52
12984,290,121,14,101
12985,1,0,0,24
12986,692,648,191,159
12988,66,84,59,71
12990,2,0,0,0
12991,10,0,0,0
12992,0,0,0,0
12993,2,2,0,0
12994,1,0,0,3
12995,200,496,238,453
13000,150,212,102,152
