"entrezgene","sample_1","sample_2","sample_3"
12402,410,263,154
12404,4,0,0
12405,4,3,0
12406,4760,1282,603
12408,165,113,56
12409,52,93,11
12411,18,6,7
12412,651,420,227
12416,300,97,89
12417,865,1490,774
12418,107,61,30
12419,3070,1482,1210
12421,314,291,187
12424,0,0,0
12425,29,18,13
12426,0,0,0
12427,6,6,1
12428,1003,517,388
12442,263,139,68
12443,1847,645,446
12444,2829,882,501
12445,847,533,251
12447,200,134,56
12448,95,94,57
12449,240,128,71
12450,268,274,151
12452,115,63,30
12453,781,478,224
12454,498,249,102
12455,440,185,113
12457,94,67,42
12458,0,0,0
12460,143,93,37
12461,1947,1018,556
12462,1026,692,278
12464,824,694,386
12465,1579,924,449
12466,1609,812,505
12467,4,2,1
12468,1697,888,397
12469,949,725,400
12475,0,4,6
12476,96,50,28
12477,0,0,0
12478,1,0,0
12479,87,74,36
12480,44,19,9
12481,0,0,0
12482,1,0,0
12483,220,203,74
12484,179,214,62
12487,4,0,0
12488,492,465,284
12489,908,372,224
12490,165,112,50
12491,12,9,3
12492,74,52,19
12493,27,7,7
12494,252,213,156
12495,146,84,26
12496,0,7,1
12497,195,54,44
12499,107,40,32
12500,118,92,55
12501,0,0,0
12502,0,1,0
12503,105,100,38
12504,22,5,5
12505,607,213,140
12506,10,3,1
12507,3,0,2
12508,8,21,7
12509,43,67,18
12511,0,0,0
12512,923,540,295
12514,86,55,17
12515,0,0,0
12516,0,0,0
12517,26,25,21
12518,3,4,0
12519,8,2,2
12520,1833,900,535
12521,44,23,17
12522,18,1,3
12523,45,71,51
12524,4,2,2
12525,3,4,2
12526,46,68,41
12527,96,55,29
12530,280,178,90
12531,248,102,54
12532,162,91,48
12534,315,181,93
12537,740,327,143
12539,749,332,128
12540,1242,1011,562
12544,180,82,47
12545,136,138,99
12549,681,367,141
12550,29,13,12
12552,7536,4687,2052
12554,39,36,17
12555,8,1,0
12556,4,0,0
12557,4,8,1
12558,1059,571,252
12560,50,14,11
12561,19,8,2
12562,594,291,108
12563,59,38,13
12564,55,16,42
12565,0,1,0
12566,184,112,97
12567,1703,874,475
12568,149,94,57
12569,18,13,12
12570,1,2,0
12571,199,142,79
12572,1076,840,498
12575,131,96,35
12576,99,83,32
12577,5542,3388,1580
12578,0,0,0
12579,0,0,0
12580,23,23,14
12581,146,120,63
12583,1168,698,316
12585,167,88,34
12587,32,23,8
12589,225,139,65
12590,0,0,0
12591,0,0,0
12592,0,0,0
12593,66,82,32
12606,36,19,16
12607,379,298,170
12608,3,0,0
12609,25,33,28
12611,310,237,148
12613,1,3,0
12614,63,28,9
12615,252,161,100
12616,366,125,71
12617,216,203,120
12622,48,129,55
12623,2,0,0
12626,380,408,215
12627,0,0,0
12628,37,29,18
12630,0,0,0
12631,2297,840,362
12632,214,241,143
12633,1271,1276,676
12638,13,5,0
12640,0,0,0
12642,0,0,0
12643,20,3,1
12647,10,28,14
12648,811,411,281
12649,154,191,84
12651,157,112,71
12652,0,0,0
12653,27,11,5
12654,1,2,0
12655,0,0,0
12659,11,10,7
12660,720,874,536
12661,17,17,2
12662,245,133,85
12663,52,49,24
12667,26,15,3
12669,4,11,2
12671,1,0,0
12672,13,19,5
12675,120,101,106
12677,0,0,0
12683,1,0,0
12684,39,15,3
12686,3,0,0
12695,181,73,34
12696,83,50,34
12700,34,26,12
12702,33,13,3
12703,6,2,1
12704,286,50,42
12705,9,5,1
12709,150,48,22
12715,2,0,0
12716,4,10,4
12721,82,50,23
12722,5,3,4
12723,22,7,3
12724,267,120,58
12725,62,84,46
12727,186,122,62
12728,188,97,40
12729,810,349,222
12733,1,0,0
12737,20,14,6
12738,1,0,0
12739,0,0,0
12740,12,0,1
12741,24,12,7
12745,1,0,1
12747,794,806,633
12748,436,286,139
12750,388,405,241
12751,303,150,104
12752,105,38,18
12753,301,173,151
12757,846,580,217
12759,57,13,9
12763,385,1159,898
12764,252,191,68
12765,912,920,684
12766,0,0,0
12767,6,7,7
12768,1,3,1
12769,18,17,5
12770,1,0,0
12771,1,0,0
12772,7,27,4
12773,3,19,15
12774,0,10,6
12775,2,1,0
12776,1,0,1
12777,1,0,1
12778,179,82,40
12780,6,2,3
12785,1780,1846,1263
12788,0,0,0
12789,0,2,0
12790,17,20,17
12793,221,330,136
12794,112,18,4
12795,42,3,3
12796,0,0,0
12797,13,6,3
12798,1560,888,323
12799,118,79,39
12801,56,28,31
12802,142,226,182
12803,3,6,2
12804,204,63,22
12805,34,18,8
12807,604,603,398
12808,176,60,22
12810,43,34,9
12812,121,53,22
12813,48,26,20
12814,1899,1747,810
12815,151,26,15
12816,7432,8560,4281
12817,49,7,7
12818,152,98,23
12819,218,94,32
12821,71,41,10
12822,103,65,24
12823,2,3,2
12824,1996,508,325
12825,9508,5474,2838
12826,1101,581,240
12827,1577,731,278
12828,5,0,0
12829,4,3,1
12830,45,30,23
12831,2826,1119,554
12832,2614,1494,674
12833,2628,765,408
12834,3595,905,528
12836,47,14,6
12837,4593,3617,1282
12839,265,60,28
12840,528,163,101
12841,866,329,187
12842,17443,6123,3176
12843,15793,9083,4423
12845,8,4,2
12846,553,438,197
12847,3495,1454,745
12848,532,387,226
12850,38,75,16
12854,6,15,4
12856,35,46,12
12857,957,633,252
12858,190,147,86
12859,400,445,133
12861,642,428,212
12862,1,0,0
12864,271,253,88
12865,1,3,0
12866,167,240,78
12867,336,476,233
12868,445,378,138
12869,2,0,1
12870,7,12,7
12873,9,1,3
12874,499,308,239
12876,274,213,128
12877,0,0,0
12879,33,22,3
12889,5,1,1
12890,435,1223,676
12891,2,0,0
12892,252,172,108
12894,193,76,35
12895,15,3,4
12896,110,39,28
12902,14,8,8
12903,1250,253,90
12904,201,165,56
12905,36,15,12
12908,219,157,72
12909,142,67,25
12912,757,353,252
12913,196,85,62
12914,2882,1087,561
12915,196,86,34
12916,29,51,27
12918,0,0,0
12919,1,0,0
12921,0,0,0
12922,0,0,0
12925,124,90,23
12927,284,96,41
12928,764,436,238
12929,501,197,172
12931,78,62,32
12933,51,27,19
12934,1428,538,458
12936,0,0,0
12937,14,2,1
12939,4,1,0
12941,7,7,2
12942,7,3,2
12943,0,1,1
12944,6,99,54
12945,3,0,0
12946,197,225,85
12950,108,85,52
12951,55,50,25
12952,65,84,38
12953,910,245,121
12954,14,9,2
12955,23,29,5
12957,8,14,6
12958,2,0,0
12959,2,3,3
12960,6,1,1
12961,0,0,0
12962,6,10,5
12964,1,3,0
12965,3,1,0
12966,2,0,0
12967,1,0,0
12968,0,0,0
12969,0,0,0
12970,0,0,0
12971,4,3,1
12972,132,126,42
12974,1444,727,408
12977,293,183,85
12978,148,101,30
12981,0,0,0
12982,68,33,20
12983,45,83,22
12984,81,45,18
12985,0,0,0
12986,183,486,339
12988,253,83,54
12990,0,0,0
12991,0,0,0
12992,0,0,0
12993,0,0,0
12994,0,0,0
12995,784,451,313
13000,336,245,102
13001,228,171,80
13002,718,299,196
13003,9689,4681,2491
13004,135,386,212
13006,1901,976,455
13007,407,174,43
13008,412,456,134
13009,7,1,0
13010,374,292,109
13011,6,1,0
13012,0,0,0
13013,1,0,0
13014,118,159,63
13016,459,260,94
13017,327,179,86
13018,643,338,215
13019,19,23,10
13024,208,198,82
13025,14,21,4
13026,317,148,90
13030,1181,508,338
13032,77,55,38
13033,1096,572,183
13034,9,431,187
13035,0,0,0
13036,28,30,7
13038,171,87,22
13039,735,375,187
13040,27,22,13
13041,25,18,1
13043,612,313,164
13046,334,191,145
13047,611,229,122
13048,25,11,5
13051,52,73,22
13052,99,96,36
13056,9,9,2
13057,84,61,16
13058,7,12,5
13063,591,532,366
13067,0,0,3
13070,0,0,0
13072,3,0,0
13074,2,0,1
13075,6,4,2
13076,1,0,0
13077,0,0,0
13078,30,5,18
13079,0,0,0
13081,0,0,0
13082,4,0,0
13085,0,0,0
13086,1,0,0
13087,1,0,0
13088,3,0,1
13089,2,0,0
13090,4,0,0
13094,1,0,0
13095,0,0,0
13096,0,0,0
13097,1,0,0
13098,0,0,0
13099,2,0,0
13101,0,3,0
13105,6,6,3
