"entrezgene","sample_1","sample_2","sample_3"
12326,914,785,1111
12328,105,49,73
12330,1962,541,1163
12331,712,349,363
12332,18,19,10
12333,39,31,26
12334,1208,283,389
12335,7,5,15
12336,1652,1052,733
12337,68,42,37
12338,4189,1131,1469
12339,819,129,372
12340,1039,301,550
12343,456,131,464
12344,0,0,0
12345,733,340,498
12346,0,0,0
12348,50,14,18
12349,91,25,20
12350,3,0,2
12351,0,0,0
12352,240,237,277
12353,1,0,0
12354,0,0,0
12355,35,49,41
12359,1922,449,493
12361,958,293,467
12362,28,4,11
12363,4,1,0
12364,1,0,8
12365,0,0,0
12366,258,280,219
12367,86,35,58
12368,45,19,23
12369,124,42,103
12370,279,81,121
12371,166,94,107
12372,27,10,5
12373,3,0,0
12374,5,0,0
12380,288,83,115
12385,1487,347,579
12386,115,18,17
12387,5570,1524,2490
12388,1575,913,851
12389,473,238,307
12390,23,14,19
12391,3,1,1
12393,1949,603,704
12394,662,337,371
12395,1107,397,455
12396,575,328,326
12398,67,55,30
12399,93,93,148
12400,737,295,631
12401,1,1,0
12402,757,281,270
12404,2,0,0
12405,0,4,1
12406,2501,1100,949
12408,162,47,95
12409,7,3,6
12411,9,22,17
12412,850,149,338
12416,195,204,121
12417,2125,294,1280
12418,64,42,34
12419,3548,1535,2030
12421,661,135,324
12424,7,0,0
12425,55,14,30
12426,0,0,0
12427,5,0,3
12428,1288,420,566
12442,319,125,184
12443,1292,382,338
12444,2412,1024,1074
12445,596,689,569
12447,89,71,74
12448,112,42,128
12449,265,127,129
12450,323,111,224
12452,99,42,70
12453,1029,552,470
12454,476,182,193
12455,561,147,212
12457,85,61,65
12458,3,0,0
12460,100,51,73
12461,1854,402,676
12462,911,314,432
12464,1064,255,558
12465,1377,505,761
12466,1792,335,621
12467,2,1,0
12468,1508,391,640
12469,1366,218,580
12475,1,7,2
12476,156,117,117
12477,2,0,0
12478,3,0,0
12479,99,42,65
12480,36,18,28
12481,0,0,0
12482,1,0,0
12483,327,148,170
12484,484,157,241
12487,3,0,0
12488,676,178,438
12489,1589,354,406
12490,214,271,217
12491,11,10,15
12492,59,72,43
12493,12,20,9
12494,387,206,226
12495,247,90,111
12496,2,3,3
12497,103,107,44
12499,61,24,39
12500,181,90,86
12501,0,0,0
12502,0,0,0
12503,231,105,95
12504,26,14,4
12505,295,180,245
12506,6,1,2
12507,0,0,0
12508,19,7,24
